,time,can_id,data_in_binary,data_in_hex
2467,1.3371323940000002,191,0110011010101001000001101010000000000110101010010000000001100100,66A906A006A90064
2468,1.3373687859999999,C9,1000010000001011110100100000000000000000100000010100000000100010,840BD20000814022
2469,1.337619245,141,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000
2470,1.3378551,C9,1000010000001011110100100000000000000000100000010100000000100010,840BD20000814022
2471,1.338083148,19B,0111011010100000100001110010001001101010101000000000000011001001,76A087226AA000C9
2472,1.3383175729999999,19D,0000101101010000010011111111111100000000010110101010000010100011,0B504FFF005AA0A3
2473,1.338553905,19E,0100000000000000000000000000000100001010111100000000000000111011,400000010AF0003B
2474,1.338792204,1C3,0000011010101001000001100111111000000000000000000000000100000000,06A9067E00000100
2475,1.339040279,1F5,0100000000001111000011110000000000000000000000000000000001011110,400F0F000000005E
2476,1.339282453,3D1,0000010000001010000000000000000000000000001001110000000000000000,040A000000270000
2477,1.339522719,589,0100000000000000011101111100000000000000011010000011000000001111,400077C00068300F
2478,1.3420332670000001,1.00E+05,0100010000000000000010001000000000110010010000000010000101011111,440008803240215F
2479,1.3425630919999998,348,000000000000000000000000000000000000001100000011,000000000303
2480,1.343339562,C1,1101100000000000000000000000000000011000000000000000000011110000,D8000000180000F0
2481,1.343577861,C5,1101100000000001000000000000000000011000000000000000000011110001,D8010000180000F1
2482,1.343767881,120,0000000000000000111000000000000000000000,0000E00000
2483,1.344376206,128,1000111111100011000000001110110100000000000000000000000001011111,8FE300ED0000005F
2484,1.344622314,1C6,0001000000000000000100000000000000000000000000000000001000100010,1000100000000222
2485,1.3448645469999998,1.00E+09,0000111111111010000000000000000000000000000000000000001000001011,0FFA00000000020B
2486,1.345073103,34A,000000000000000000000000000000000000001100000011,000000000303
2487,1.345305085,471,0100100001110110000000000000000001010101010000100000000001010101,4876000055420055
2488,1.345541417,269,1000000000000000000101010101000001100000000000000100000010000101,8000155060004085
2489,1.34713155,191,1010011010101001000001101010000000000110101010010000000010100100,A6A906A006A900A4
2490,1.347365915,C9,1000010000001011110100100000000000000000100000011000000001100010,840BD20000818062
2491,1.347538411,140,00000000000110000000000000000000,00180000
2492,1.3477723590000001,C9,1000010000001011110100100000000000000000100000011000000001100010,840BD20000818062
2493,1.348004758,19B,1011011010100000100001110010001001101010101000000000000000001001,B6A087226AA00009
2494,1.348236739,19D,0000101101010000100011111111111100000000010110101010000011100011,0B508FFF005AA0E3
2495,1.348477006,19E,1000000000000000000000000000000100001010111100000000000001111011,800000010AF0007B
2496,1.3487172719999998,1F5,1000000000001111000011110000000000000000000000000000000010011110,800F0F000000009E
2497,1.3489594459999998,3D1,0000010000001010000000000000000000000000001001110000000000000000,040A000000270000
2498,1.3491997119999999,589,1000000000000000011101111100000000000000011010000011000001001111,800077C00068304F
2499,1.351260304,263,0101010101111000000000000000000000000000000000000000000011001101,55780000000000CD
2500,1.352160096,1.00E+05,0100010000000000000010001000000001000010010000000010000101101111,440008804240216F
2501,1.352662623,348,000000000000000000000000000000000000000000000000,000000000000
2502,1.353287041,C1,0001100000000000000000000000000000011000000000000000000000110000,1800000018000030
2503,1.3535292140000001,C5,0001100000000001000000000000000000011000000000000000000000110001,1801000018000031
2504,1.3537392609999999,34A,000000000000000000000000000000000000000000000000,000000000000
2505,1.3542637219999998,230,0000000000000001000000000000000000000000000000000000100000001001,0001000000000809
2506,1.3571340440000002,191,1110011010101001000001101010000000000110101010010000000011100100,E6A906A006A900E4
2507,1.357368409,C9,1000010000001011110100100000000000000000100000011100000010100010,840BD2000081C0A2
2508,1.357608676,194,0000010000111110111111110011011000101111100100010000000000000000,043EFF362F910000
2509,1.3578431009999998,C9,1000010000001011110100100000000000000000100000011100000010100010,840BD2000081C0A2
2510,1.358071148,19B,1111011010100000100001110010001001101010101000000000000001001001,F6A087226AA00049
2511,1.358303129,19D,0000101101010000110011111111111100000000010110101010000000100011,0B50CFFF005AA023
2512,1.358539462,19E,1100000000000000000000000000000100001010111100000000000010111011,C00000010AF000BB
2513,1.358777761,1C3,0000011010101001000001100111111000000000000000000000000100000000,06A9067E00000100
2514,1.359025836,1F5,1100000000001111000011110000000000000000000000000000000011011110,C00F0F00000000DE
2515,1.359268009,3D1,0000010000001010000000000000000000000000001001110000000000000000,040A000000270000
2516,1.3595185280000002,3.00E+09,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000
2517,1.3597568269999998,589,1100000000000000011101111100000000000000011010000011000010001111,C00077C00068308F
2518,1.362068951,1.00E+05,0100010000000000000010101000000001010010010000000010001010000010,44000A8052402282
2519,1.362555384,348,000000000000000000000000000000000000000100000001,000000000101
2520,1.363269448,C1,0101100000000000000000000000000000011000000000000000000001110000,5800000018000070
2521,1.3635116809999999,C5,0101100000000001000000000000000000011000000000000000000001110001,5801000018000071
2522,1.364272058,128,1100111111100011000000001110110100000000000000000000000010011111,CFE300ED0000009F
2523,1.364516258,1C6,0001000000000000000100000000000000000000000000000000001100100011,1000100000000323
2524,1.364758431,1.00E+09,0000111111111000000000000000000000000000000000000000001100001010,0FF800000000030A
2525,1.3649684780000002,34A,000000000000000000000000000000000000000100000001,000000000101
2526,1.365238905,269,1100000000000000000101010101000001100000000000000100000011000101,C0001550600040C5
2527,1.3671312919999998,191,0010011010101001000001101010000000000110101010010000000000100100,26A906A006A90024
2528,1.367367684,C9,1000010000001011110100100000000000000000100000010000000011100010,840BD200008100E2
2529,1.367597699,19B,0011011010100000100001110010001001101010101000000000000010001001,36A087226AA00089
2530,1.367834031,C9,1000010000001011110100100000000000000000100000010000000011100010,840BD200008100E2
2531,1.36806792,19D,0000101101011000000011111111111100000000010110101010000001101011,0B580FFF005AA06B
2532,1.368308186,19E,0000000000000000000000000000000100001010111100000000000011111011,000000010AF000FB
2533,1.368558704,1F5,0000000000001111000011110000000000000000000000000000000000011110,000F0F000000001E
2534,1.368800878,3D1,0000010000001010000000000000000000000000001001110000000000000000,040A000000270000
2535,1.369041144,589,0000000000000000011101111100000000000000011010000011000011001111,000077C0006830CF
2536,1.371225535,263,1001010101111000000000000000000000000000000000000000000000001101,957800000000000D
2537,1.372181415,1.00E+05,0100010000000000000010011000000001100010010000000010000110010000,4400098062402190
2538,1.3726298209999999,348,000000000000000000000000000000000000001000000010,000000000202
2539,1.373261571,C1,1001100000000000000000000000000000011000000000000000000010110000,98000000180000B0
2540,1.37349987,C5,1001100000000001000000000000000000011000000000000000000010110001,98010000180000B1
2541,1.37370795,34A,000000000000000000000000000000000000001000000010,000000000202
2542,1.377132535,191,0110011010101011000001101010000000000110101010110000000001101000,66AB06A006AB0068
2543,1.377368867,C9,1000010000001011101101000000000000000000100000010100000000000100,840BB40000814004
2544,1.377540886,140,00000000000110000000000000000000,00180000
2545,1.377777218,C9,1000010000001011101101000000000000000000100000010100000000000100,840BB40000814004
2546,1.378005266,19B,0111011010100000100001110010001001101010101000000000000011001001,76A087226AA000C9
2547,1.378237724,19D,0000101101010100010011111111111100000000010110101010000010100111,0B544FFF005AA0A7
2548,1.378473579,19E,0100000000000000000000000000000100001010111100000000000000111011,400000010AF0003B
2549,1.3787118790000001,1C3,0000011010101011000001100111111000000000000000000000000100000000,06AB067E00000100
2550,1.378959953,1F5,0100000000001111000011110000000000000000000000000000000001011110,400F0F000000005E
2551,1.379202187,3D1,0000010000001010000000000000000000000000001001110000000000000000,040A000000270000
2552,1.379452645,3.00E+05,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000
2553,1.379694819,4C9,0000000001101010000000000000000010001111000000000000000000000000,006A00008F000000
2554,1.379935085,589,0100000000000000011101111100000000000000011010000011000000001111,400077C00068300F
2555,1.3820629119999999,1.00E+05,0100010000000000000001101000000001110010010000000010000110011101,440006807240219D
2556,1.38257718,348,000000000000000000000000000000000000001100000011,000000000303
2557,1.383233249,C1,1101100000000000000000000000000000011000000000000000000011110000,D8000000180000F0
2558,1.3834715480000002,C5,1101100000000001000000000000000000011000000000000000000011110001,D8010000180000F1
